OBJECTID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
103,5.87234E-05,0.002545582,0.007010798,0.011388886,0.014832401,0.017471408,0.019495473,0.021056007,0.022262298,0.023191461,0.023897681,0.024418868,0.024781114,0.025001594,0.025090376,0.025051429,0.024883017,0.024577529,0.02412072,0.023490242,0.022653214,0.021562435,0.020150665,0.018322375,0.015943468,0.01283614,0.008820543,0.004309344,0.00053495,1.02283E-06
104,0.000385831,0.465324149,3.132938582,7.808875903,22.45040091,43.29203592,67.56622066,92.90779298,117.3504897,139.3325522,157.6538535,171.4317416,180.066359,183.2158568,180.7795961,172.8874498,159.8939126,142.3763873,121.137564,97.21212459,71.87776087,46.66878348,23.38488964,19.11148273,14.70965523,9.78098313,4.826967702,1.253446446,0.024689607,4.33703E-07
105,0.008384094,1.697005008,7.07200152,14.00886607,20.32538511,25.59941349,29.8743721,33.29763,36.01625981,38.15195866,39.79886138,41.02712477,41.88716663,42.41315795,42.62549795,42.53230957,42.13003601,41.40317952,40.32316388,54.51715823,85.19218124,110.8750116,129.077307,136.9851838,131.5481562,109.9996375,71.89376725,28.49784152,1.611753962,0.000364153
106,0.243353033,22.26024997,70.04714583,113.7294512,137.8668756,143.6661633,134.8935864,115.2672928,87.98884472,55.75580701,43.87689399,45.04365344,45.85778599,46.35457285,46.5548843,46.46699164,46.08727583,45.39991819,44.37553553,42.96859913,41.11335912,38.71793943,35.65650124,31.76073741,26.81754281,20.60123973,13.05233044,5.461017369,0.431580495,0.000261171
107,0.000174431,0.010469008,0.031467762,0.053305107,0.071023613,0.084851223,0.095581406,0.10392079,0.110404019,0.115418629,0.119241696,0.122069375,0.124037803,0.125237106,0.125720293,0.125508308,0.124591991,0.122931224,0.120451142,0.11703485,0.112511599,0.106638793,0.099075943,0.08935006,0.076821383,0.060702518,0.040383354,0.018546626,0.001922875,2.32367E-06
108,0.003831417,1.234523149,5.829453635,12.25967574,18.37664326,23.61724719,27.93637132,31.43471042,34.23567995,36.44916309,38.1635061,39.44613119,40.34624714,40.8975474,41.12027457,41.02251564,40.60072772,68.902113,106.520171,139.9163185,166.9937858,185.5193648,193.1327213,187.4170305,166.1688123,128.2746121,76.36953873,26.54606435,1.11470345,0.000127234
109,0.064946359,12.90237193,55.82523119,114.2278274,169.127025,214.2217161,247.5273289,268.7129011,278.1418978,276.5225644,264.7756189,243.9815429,215.3572724,180.243405,140.0948745,96.47277871,51.03709258,42.03687653,40.9624891,39.49231468,37.56359135,35.09062185,31.9600653,28.02873111,23.1341359,17.15257041,10.22055293,3.803474352,0.213683903,5.42107E-05
110,1.111233354,47.02841756,123.5189396,187.9959009,225.1424721,238.7516327,233.837962,214.7031312,184.8599961,147.2251296,104.2923072,58.25159166,47.24440191,47.66608374,47.8358873,47.76139669,47.43929612,46.85504563,45.98143544,44.77578255,43.17530558,41.08991752,38.39134904,34.89751087,30.35313053,24.42057363,16.76095729,8.170071379,1.007506272,0.00189408
111,0.000233846,0.009741718,0.026544462,0.042900715,0.055716558,0.065516456,0.073022048,0.078803118,0.083268764,0.086706743,0.089318842,0.091246032,0.09258525,0.093400265,0.093728428,0.093584469,0.092961949,0.091832626,0.090143627,0.087811948,0.084715366,0.080678216,0.075449809,0.068673052,0.059844552,0.048291376,0.033315749,0.016400141,0.00208118,4.20875E-06
112,0.097059099,13.98797963,48.85469422,82.02847424,99.37130433,101.1346583,90.46023669,70.70863804,44.8575305,39.63151903,41.2601197,42.47266189,43.32067578,43.83890604,44.04802701,43.9562574,43.55999943,42.84355934,41.77792377,40.31849033,38.40160944,35.93988815,32.81675478,28.88283016,23.96368098,17.91259164,10.82458016,4.137876672,0.311635579,0.000141545
113,0.097469853,4.620998344,13.03673346,21.42340241,28.07658605,33.2009294,37.1438649,40.19053636,42.54931286,44.36827477,45.75195961,46.7737357,47.48421701,47.91677266,48.09097711,85.39274843,140.0969001,191.5168191,237.7600871,276.900032,306.9536181,325.8414728,331.324288,320.9162567,291.8115737,241.0206424,166.6398055,80.02516815,9.309162453,0.015378878
